center,parameter,value,neg_log_like
true,lambda_i,-0.06953890157485348,-10870.62621814889
true,lambda_i,-0.059871363517780996,-10915.007277739796
true,lambda_i,-0.050203825460708514,-10945.20678536491
true,lambda_i,-0.04053628740363603,-10963.212024253862
true,lambda_i,-0.030868749346563543,-10971.477594568545
true,lambda_i,-0.021201211289491054,-10973.043000869558
true,lambda_i,-0.011533673232418565,-10971.407082798676
true,lambda_i,-0.0018661351753460897,-10969.84698091882
true,lambda_i,0.007801402881726399,-10969.247351995125
true,lambda_i,0.017468940938798874,
true,lambda_i,0.02713647899587135,
true,sigma,0.05,-9212.04239590799
true,sigma,0.07965768544624309,-10474.330180150635
true,sigma,0.10931537089248616,-10810.290846013106
true,sigma,0.13897305633872925,-10924.71394817505
true,sigma,0.16863074178497234,-10963.806289370686
true,sigma,0.19828842723121543,-10972.101261587555
true,sigma,0.2279461126774585,-10966.43773674401
true,sigma,0.2576037981237016,-10954.12363957076
true,sigma,0.2872614835699447,-10938.63991156675
true,sigma,0.3169191690161877,-10921.753703202889
true,sigma,0.3465768544624308,-10904.400419611236
true,sigma,0.3762345399086739,-10887.086565081165
true,sigma,0.405892225354917,
true,sigma,0.43554991080116007,
true,sigma,0.46520759624740315,
true,sigma_err,3.713014099832492e-05,-10019.286370681184
true,sigma_err,4.243444685522848e-05,-10416.899755628992
true,sigma_err,4.773875271213204e-05,-10657.916068646315
true,sigma_err,5.3043058569035594e-05,-10804.89601750578
true,sigma_err,5.834736442593916e-05,-10892.748804860787
true,sigma_err,6.365167028284272e-05,-10942.085815924198
true,sigma_err,6.895597613974628e-05,-10965.639470494474
true,sigma_err,7.426028199664984e-05,-10971.570390366782
true,sigma_err,7.956458785355339e-05,-10965.270760688416
true,sigma_err,8.486889371045696e-05,-10950.395230396907
true,sigma_err,9.017319956736053e-05,-10929.474237380562
true,sigma_err,9.547750542426408e-05,-10904.291591899206
true,sigma_err,0.00010078181128116763,-10876.123909480546
true,sigma_err,0.0001060861171380712,-10845.896412715401
true,sigma_err,0.00011139042299497476,-10814.28664322648
kalman,kappa,0.371877446988584,613994.2707516628
kalman,kappa,0.3997379566148658,461131.74226670375
kalman,kappa,0.4275984662411476,336111.4256070526
kalman,kappa,0.45545897586742945,235416.2458673897
kalman,kappa,0.48331948549371123,155913.53143156154
kalman,kappa,0.511179995119993,94830.96226636224
kalman,kappa,0.5390405047462749,49726.515707720595
kalman,kappa,0.5669010143725567,18456.242275020617
kalman,kappa,0.5947615239988384,-857.7769696558839
kalman,kappa,0.6226220336251203,-9857.88202152369
kalman,kappa,0.6504825432514021,-9978.955261070048
kalman,kappa,0.6783430528776839,-2473.8879408134094
kalman,kappa,0.7062035625039658,11563.662056709602
kalman,kappa,0.7340640721302476,31179.12634678703
kalman,kappa,0.7619245817565293,55539.315074968355
kalman,theta,0.2848087840454623,2763247.598509551
kalman,theta,0.3089525100696125,1195423.478025265
kalman,theta,0.33309623609376265,271984.9776757429
kalman,theta,0.35723996211791287,-9819.445507093486
kalman,theta,0.3813836881420631,347025.8758655926
kalman,theta,0.4055274141662133,1339301.824201666
kalman,theta,0.42967114019036345,2963557.708142918
kalman,theta,0.45381486621451367,5217769.465660183
kalman,theta,0.4779585922386639,8109747.927482556
kalman,theta,0.502102318262814,11705278.83829956
kalman,theta,0.5262460442869643,16110529.700270375
kalman,theta,0.5503897703111145,21434118.537600774
kalman,theta,0.5745334963352646,27643825.04773399
kalman,theta,0.5986772223594148,34911547.712094754
kalman,theta,0.622820948383565,43155831.09261361
kalman,gamma1,0.19158799410011773,2764644.905691791
kalman,gamma1,0.20710974837129972,1251169.2693075615
kalman,gamma1,0.22263150264248172,327846.6847850385
kalman,gamma1,0.23815325691366368,-9232.661841671079
kalman,gamma1,0.2536750111848457,237365.15300919706
kalman,gamma1,0.26919676545602766,1064889.8092594605
kalman,gamma1,0.28471851972720963,2470402.465341819
