center,parameter,idx,value,neg_log_like
true,gamma1,0,0.41569188794818474,-42591.24685576902
true,gamma1,0,0.418640057366257,-41256.33722992091
true,gamma1,0,0.4215882267843292,-39025.47088587194
true,gamma1,0,0.42453639620240147,-35898.61811651161
true,gamma1,0,0.42748456562047366,-31875.7491802609
true,gamma1,0,0.4304327350385459,-26956.83429985531
true,gamma1,0,0.43338090445661814,-21141.84366097966
true,lambda_i,0,-0.22371073521715487,-43029.868780720026
true,lambda_i,0,-0.20942502093144058,-43030.05657501161
true,lambda_i,0,-0.1951393066457263,-43030.20003229435
true,lambda_i,0,-0.18085359236001203,-43030.298562258664
true,lambda_i,0,-0.16656787807429774,-43030.351517319
true,lambda_i,0,-0.15228216378858345,-43030.35818535084
true,lambda_i,0,-0.13799644950286916,-43030.317781258214
true,lambda_i,0,-0.12371073521715487,-43030.22943713939
true,lambda_i,0,-0.10942502093144058,-43030.09219076329
true,lambda_i,0,-0.09513930664572628,-43029.90497199348
true,lambda_i,0,-0.080853592360012,-43029.666586701016
true,lambda_i,0,-0.0665678780742977,-43029.375697586634
true,lambda_i,0,-0.05228216378858344,-43029.03080116155
true,lambda_i,0,-0.03799644950286915,-43028.63019991998
true,lambda_i,0,-0.02371073521715486,-43028.1719684245
true,sigma,0,0.027367149102637583,-43026.47889799418
true,sigma,0,0.027572917141003277,-43027.25741844052
true,sigma,0,0.027778685179368975,-43027.95141483483
true,sigma,0,0.02798445321773467,-43028.56311810433
true,sigma,0,0.028190221256100368,-43029.094695602485
true,sigma,0,0.028395989294466063,-43029.548253219466
true,sigma,0,0.02860175733283176,-43029.925837409486
true,sigma,0,0.028807525371197455,-43030.22943713939
true,sigma,0,0.02901329340956315,-43030.46098575983
true,sigma,0,0.029219061447928848,-43030.622362806804
true,sigma,0,0.029424829486294542,-43030.71539573125
true,sigma,0,0.02963059752466024,-43030.741861565504
true,sigma,0,0.029836365563025935,-43030.70348852586
true,sigma,0,0.030042133601391633,-43030.60195755452
true,sigma,0,0.030247901639757328,-43030.43890380585
true,sigma_err,0,3.399268245816215e-05,-43020.226975243786
true,sigma_err,0,3.424826653679495e-05,-43023.09607346043
true,sigma_err,0,3.450385061542774e-05,-43025.45630931684
true,sigma_err,0,3.475943469406054e-05,-43027.32564684746
true,sigma_err,0,3.501501877269334e-05,-43028.72134992781
true,sigma_err,0,3.5270602851326143e-05,-43029.66001367695
true,sigma_err,0,3.552618692995894e-05,-43030.157594254095
true,sigma_err,0,3.578177100859174e-05,-43030.22943713939
true,sigma_err,0,3.603735508722454e-05,-43029.890303989865
true,sigma_err,0,3.629293916585733e-05,-43029.1543981474
true,sigma_err,0,3.654852324449013e-05,-43028.03538887659
true,sigma_err,0,3.680410732312293e-05,-43026.54643440401
true,sigma_err,0,3.7059691401755725e-05,-43024.70020382474
true,sigma_err,0,3.7315275480388526e-05,-43022.508897939624
true,sigma_err,0,3.7570859559021326e-05,-43019.98426908051
kalman,kappa,0,0.42982908486595106,-42846.84149834951
kalman,kappa,0,0.43306088249652214,-42897.85028374375
kalman,kappa,0,0.43629268012709316,-42940.01925701135
kalman,kappa,0,0.43952447775766423,-42973.5117949182
kalman,kappa,0,0.4427562753882353,-42998.48858678552
kalman,kappa,0,0.4459880730188064,-43015.10767720458
kalman,kappa,0,0.4492198706493774,-43023.52450841285
kalman,kappa,0,0.4524516682799485,-43023.891962026886
kalman,kappa,0,0.45568346591051956,-43016.36039964644
kalman,kappa,0,0.4589152635410906,-43001.07770404322
kalman,kappa,0,0.46214706117166165,-42978.18931798822
kalman,kappa,0,0.46537885880223273,-42947.83828639023
kalman,kappa,0,0.46861065643280375,-42910.16529611687
kalman,kappa,0,0.4718424540633748,-42865.30870161376
kalman,kappa,0,0.4750742516939459,-42813.40458163229
kalman,theta,0,0.41440373270866265,-21737.37169802498
kalman,theta,0,0.41751955024782555,-27451.586789430803
kalman,theta,0,0.4206353677869884,-32274.75774383247
kalman,theta,0,0.4237511853261513,-36206.854336114884
kalman,theta,0,0.42686700286531415,-39247.84632431465
kalman,theta,0,0.42998282040447705,-41397.703448124674
kalman,theta,0,0.4330986379436399,-42656.39542770721
kalman,theta,0,0.4362144554828028,-43023.891962026886
kalman,theta,0,0.4393302730219657,-42500.16272729722
kalman,theta,0,0.44244609056112855,-41085.17737526585
kalman,theta,0,0.44556190810029145,-38778.90553139982
kalman,theta,0,0.4486777256394543,-35581.31679294851
kalman,theta,0,0.4517935431786172,-31492.38072688015
kalman,theta,0,0.45490936071778004,-26512.06686769535
kalman,theta,0,0.45802517825694294,-20640.344714746832
kalman,gamma1,0,0.018514806616833232,-21734.879552780814
kalman,gamma1,0,0.018654015689140248,-27449.503879580792
kalman,gamma1,0,0.018793224761447267,-32273.06023689588
kalman,gamma1,0,0.018932433833754283,-36205.522254313626
kalman,gamma1,0,0.0190716429060613,-39246.86333605241
kalman,gamma1,0,0.019210851978368314,-41397.05667735356
kalman,gamma1,0,0.019350061050675334,-42656.07527923505
kalman,gamma1,0,0.01948927012298235,-43023.891962026886
kalman,gamma1,0,0.019628479195289365,-42500.4793773743
kalman,gamma1,0,0.019767688267596385,-41085.810019191784
kalman,gamma1,0,0.0199068973399034,-38779.85623340758
kalman,gamma1,0,0.020046106412210416,-35582.59022727373
kalman,gamma1,0,0.020185315484517435,-31493.98407677225
kalman,gamma1,0,0.02032452455682445,-26514.00973413008
kalman,gamma1,0,0.020463733629131467,-20642.63903411263
kalman,lambda_i,0,-0.13925125010852518,-43025.53858751604
kalman,lambda_i,0,-0.12580473224363053,-43025.473145407865
kalman,lambda_i,0,-0.11235821437873587,-43025.36235775199
kalman,lambda_i,0,-0.09891169651384121,-43025.20481070191
kalman,lambda_i,0,-0.08546517864894657,-43024.998854571764
kalman,lambda_i,0,-0.0720186607840519,-43024.7425521195
kalman,lambda_i,0,-0.058572142919157244,-43024.43361256849
kalman,lambda_i,0,-0.0451256250542626,-43024.069306561025
kalman,lambda_i,0,-0.031679107189367936,-43023.64635530159
kalman,lambda_i,0,-0.018232589324473275,-43023.160784285064
kalman,lambda_i,0,-0.004786071459578628,-43022.607727703515
kalman,lambda_i,0,0.008660446405316019,-43021.981163028366
kalman,lambda_i,0,0.022106964270210694,-43021.27354494342
kalman,lambda_i,0,0.03555348213510534,-43020.47529124926
